ItemCode,ItemName,PrimaryUnit,ExtraUnit,ExtraBarcode,ExtraPrice
"3201000483","LACNOR PEACH NECTOR 180ML","PCS","OUT","2004001485178","10.0625"
"3201000483","LACNOR PEACH NECTOR 180ML","PCS","OUT","6291016124246","10.0625"
"3201000483","LACNOR PEACH NECTOR 180ML","PCS","CTN","2004000282310","40.25"
"3201000484","LACNOR STRAWBERRY NECTOR 180ML","PCS","OUT","6291016124260","16.0885"
"3201000484","LACNOR STRAWBERRY NECTOR 180ML","PCS","CTN","2004001497676","65.55"
"3201000484","LACNOR STRAWBERRY NECTOR 180ML","PCS","CTN","6291016124468","65.55"
"3201000524","APPLETISER 300ML","PCS","OUT","6001048003132","30.127125000000003"
"3201000525","APPLETISER GRAPETISER RED 300ML","PCS","OUT","6001048003149","30.127125000000003"
"3201000526","APPLETISER GRAPETISER WHITE 300ML","PCS","OUT","6001048003156","30.127125000000003"
"3201000534","LACNOR ORANGE KIDO DRINK 125ML","PCS","OUT","6291016245217","5.175"
"3201000534","LACNOR ORANGE KIDO DRINK 125ML","PCS","CTN","6291016245415","25.587500000000002"
"3201000535","LACNOR MANGO KIDO DRINK 125ML","PCS","OUT","6291016245224","5.175"
"3201000535","LACNOR MANGO KIDO DRINK 125ML","PCS","CTN","6291016245422","25.587500000000002"
"3201000536","LACNOR COCKTAIL KIDO DRINK 125ML","PCS","OUT","6291016245231","5.175"
"3201000536","LACNOR COCKTAIL KIDO DRINK 125ML","PCS","CTN","6291016245439","25.587500000000002"
"3201000538","LACNOR STRAWBERRY KIDO DRINK 125ML","PCS","OUT","6291016245255","5.175"
"3201000538","LACNOR STRAWBERRY KIDO DRINK 125ML","PCS","CTN","6291016245453","25.587500000000002"
"3201000556","FREEZ ICE LEMON 275ML","PCS","CTN","2005000355127","125.58000000000001"
"3201000557","FREEZ STRAWBERRY 275ML","PCS","CTN","2005000355134","125.58000000000001"
"3201000558","FREEZ GRENADINE 275ML","PCS","CTN","2005000355141","125.58000000000001"
"3201000559","FREEZ BLACKBERRY 275ML","PCS","CTN","2005000355158","125.58000000000001"
"3201000560","FREEZ PINEAPPLE 275ML","PCS","CTN","2005000355165","125.58000000000001"
"3201000561","FREEZ TAMRIND 275ML","PCS","CTN","2005000355172","125.58000000000001"
"3201000562","FREEZ PEACH 275ML","PCS","CTN","2005000355189","125.58000000000001"
"3201000563","FREEZ KIWI 275ML","PCS","CTN","2005000355196","125.58000000000001"
"3201000564","FREEZ MINT LEMON 275ML","PCS","CTN","2005000355202","125.58000000000001"
"3201000566","VIMTO FRUIT FLAVOUR DRINK PET SPORTS 250ML","PCS","OUT2","6281034902308","14.0875"
"3201000566","VIMTO FRUIT FLAVOUR DRINK PET SPORTS 250ML","PCS","OUT","2004001488865","29.900000000000002"
"3201000566","VIMTO FRUIT FLAVOUR DRINK PET SPORTS 250ML","PCS","CTN","6281034900700","56.637499999999996"
"3201000567","VIMTO FRUIT FLAVOUR DRINK CAN 250ML","PCS","OUT","2004000236283","16.9625"
"3201000567","VIMTO FRUIT FLAVOUR DRINK CAN 250ML","PCS","OUT","6281034900373","16.9625"
"3201000567","VIMTO FRUIT FLAVOUR DRINK CAN 250ML","PCS","CTN","2004001488766","67.27499999999999"
"3201000567","VIMTO FRUIT FLAVOUR DRINK CAN 250ML","PCS","CTN","6281034000448","67.27499999999999"
"3201000567","VIMTO FRUIT FLAVOUR DRINK CAN 250ML","PCS","CTN","6281034905057","67.27499999999999"
"3201000572","RANI BANANA NRB 200GR","PCS","CTN","2006000365369","41.399195"
"3201000572","RANI BANANA NRB 200GR","PCS","CTN","6281034901820","41.399195"
"3201000573","RANI COCKTAIL NRB 200ML","PCS","CTN","2006000365376","83.375"
"3201000573","RANI COCKTAIL NRB 200ML","PCS","CTN","6281034901806","83.375"
"3201000577","AL RABIE PRISMA ORANGE 200ML","PCS","CTN","6281026120772","26.565"
"3201000579","AL RABIE PRISMA MANGO 200ML","PCS","CTN","6281026120895","66.69999999999999"
"3201000580","AL RABIE PRISMA FRUIT COCKTAIL 200ML","PCS","CTN","6281026120956","66.69999999999999"
"3201000586","MASAFI ORANGE JUICE 2LT","PCS","OUT","6291001010295","56.35"
"3201000587","MASAFI APPLE JUICE 2LT","PCS","OUT","6291001010301","48.3"
"3201000588","MASAFI MANGO JUICE 2LT","PCS","OUT","6291001010318","62.674080000000004"
"3201000589","MASAFI TROPICAL JUICE 2LT","PCS","OUT","6291001010325","65.8329"
"3201000590","MASAFI TROPICAL JUICE 1LT","PCS","OUT","6291001010288","69.129375"
"3201000591","MASAFI MANGO JUICE 1LT.","PCS","OUT","6291001010271","65.20500000000001"
"3201000592","MASAFI APPLE JUICE 1LT.","PCS","OUT","6291001010264","41.05500000000001"
"3201000593","MASAFI ORANGE JUICE 1LT.","PCS","OUT","6291001010257","68.404875"
"3201000594","MASAFI ORANGE JUICE 200ML","PCS","CTN","6291001010219","70.1385"
"3201000595","MASAFI APPLE JUICE 200ML","PCS","CTN","6291001010226","55.199999999999996"
"3201000596","MASAFI MANGO JUICE 200ML","PCS","CTN","6291001010233","72.558675"
"3201000597","MASAFI TROPICAL JUICE 200ML","PCS","CTN","6291001010240","66.125"
"3201000610","POKKA BANANA SHAKE 240ML","PCS","CTN","2004000178576","146.625"
"3201000611","POKKA MANGO NECTAR 240ML","PCS","CTN","18888196130713","140.29942499999999"
"3201000612","POKKA ORANGE NECTAR 240ML","PCS","CTN","18888196130614","144.9"
"3201000613","POKKA GUAVA DRINK 240ML","PCS","CTN","2004000178750","87.54375"
"3201000614","POKKA PINEAPPLE 240ML","PCS","CTN","18888196161014","87.54375"
"3201000615","POKKA MELON MILK DRINK 240ML","PCS","CTN","18888196115512","147.77384999999998"
"3201000616","POKKA BUNDUNG DRINK 240ML","PCS","CTN","2004000178781","144.9"
"3201000617","POKKA VITAENE C 240ML","PCS","OUT","0543729988124","40.25"
"3201000617","POKKA VITAENE C 240ML","PCS","OUT","543729988124","40.25"
"3201000617","POKKA VITAENE C 240ML","PCS","OUT","5543755910392","40.25"
"3201000617","POKKA VITAENE C 240ML","PCS","OUT","6543755021363","40.25"
"3201000617","POKKA VITAENE C 240ML","PCS","OUT","8888196572462","40.25"
"3201000617","POKKA VITAENE C 240ML","PCS","CTN","14902471046453","159.275"
"3201000617","POKKA VITAENE C 240ML","PCS","CTN","4902471046453","159.275"
"3201000618","RANI ORANGE NRB 200ML","PCS","CTN","2004000162544","83.375"
"3201000618","RANI ORANGE NRB 200ML","PCS","CTN","6281034901790","83.375"
"3201000620","RANI ORANGE TETRA 250ML","PCS","OUT","2004001489145","17.537499999999998"
"3201000620","RANI ORANGE TETRA 250ML","PCS","OUT","6281034900717","17.537499999999998"
"3201000620","RANI ORANGE TETRA 250ML","PCS","OUT","6281034912086","17.537499999999998"
"3201000620","RANI ORANGE TETRA 250ML","PCS","CTN","6281034900229","56.925"
"3201000620","RANI ORANGE TETRA 250ML","PCS","CTN","6281034901516","56.925"
"3201000622","ICE COOL COCONUT 310ML","PCS","OUT","0107030001912","34.5"
"3201000622","ICE COOL COCONUT 310ML","PCS","CTN","2004000206392","138"
"3201000622","ICE COOL COCONUT 310ML","PCS","CTN","88889195001782","138"
"3201000626","LIBBYS ORANGE JUICE 250ML+2","PCS","CTN","2006000375313","78.4875"
"3201000628","LIBBYS TROPICAL JUICE LITE 250ML","PCS","CTN","2006000375337","79.695"
"3201000636","VOLVIC  WATER 500ML","PCS","OUT","1701020000221","41.34250000000001"
"3201000636","VOLVIC  WATER 500ML","PCS","OUT","3057640253218","41.34250000000001"
"3201000636","VOLVIC  WATER 500ML","PCS","CTN","3057640233913","158.125"
"3201000640","AL RABIE PINEAPPLE AND GUAVA 330ML","PCS","CTN","06281026170418","48.3"
"3201000640","AL RABIE PINEAPPLE AND GUAVA 330ML","PCS","CTN","6281026170418","48.3"
"3201000641","AL RABIE KIWI AND LIME 330ML","PCS","CTN","06281026175710","83.95"
"3201000641","AL RABIE KIWI AND LIME 330ML","PCS","CTN","6281026175710","83.95"
"3201000642","AL RABIE BERRYMIX DRINK 330ML","PCS","CTN","06281026175772","111.8375"
"3201000642","AL RABIE BERRYMIX DRINK 330ML","PCS","CTN","6281026175772","111.8375"
"3201000643","AL RABIE ORANGE DRINK JUICE 330ML","PCS","CTN","06281026170050","70.725"
"3201000643","AL RABIE ORANGE DRINK JUICE 330ML","PCS","CTN","6281026170050","70.725"
